Japanese,English,Reading
ヽ,repetition mark in katakana,ヽ
ヾ,voiced repetition mark in katakana,ヾ
ゝ,repetition mark in hiragana,ゝ
ゞ,voiced repetition mark in hiragana,ゞ
〃,ditto mark,おなじ
仝,"""as above"" mark",どうじょう
々,kanji repetition mark,のま
○,circle,まる
ＡＢＣ順,alphabetical order,エービーシーじゅん
ＣＤプレーヤー,CD player,シーディープレーヤー
Ｎ響,NHK Symphony Orchestra,エヌきょう
Ｏバック,O-back,オーバック
ＲＳ２３２ケーブル,rs232 cable,アールエスにさんにケーブル
Ｔシャツ,T-shirt,ティーシャツ
Ｔバック,T-back,ティーバック
あうんの呼吸,"the harmonizing, mentally and physically, of two parties engaged in an activity",あうんのこきゅう
あおば,(former) regular (stops at every station) Tōhoku-line Shinkansen,あおば
明白,obvious,めいはく
明白,plain,あからさま
明かん,useless,あかん
悪どい,gaudy,あくどい
論う,to discuss,あげつらう
あさひ,Jouetsu line express Shinkansen,あさひ
遇う,to treat,あしらう
馬酔木,Japanese andromeda (Pieris japonica),あせび
彼処,there,あそこ
あっさり,easily,あっさり
あっという間に,in an instant,あっというまに
あっぷあっぷ,floundering while nearly drowning,あっぷあっぷ
あどけない,innocent,あどけない
彼の,that,あの
あの,say,あの
あの人,he,あのひと
あの方,that gentleman,あのかた
溢れる,to fail (in getting a job),あぶれる
あべこべ,contrary,あべこべ
阿呆陀羅,fool,あほんだら
甘子,land-locked variety of red-spotted masu trout (Oncorhynchus masou ishikawae),あまご
あやす,to cuddle,あやす
あやふや,uncertain,あやふや
あら,oh,あら
𩺊,saw-edged perch (Niphon spinosus),あら
彼,that,あれ
あんな,that sort of,あんな
いい加減にしなさい,shape up!,いいかげんにしなさい
いい年をして,(in spite of) being old enough to know better,いいとしをして
否々,no!,いやいや
如何わしい,suspicious,いかがわしい
いかす,to be smart,いかす
いかなる場合でも,in any case,いかなるばあいでも
如何にも,indeed,いかにも
幾つも,many,いくつも
行けない,bad,いけない
いごっそう,stubborn person,いごっそう
いざ,now,いざ
いざこざ,trouble,いざこざ
イジイジ,hesitantly,イジイジ
いじける,to grow timid,いじける
いじましい,piddling,いじましい
いじらしい,lovable,いじらしい
いじり回す,to tinker with,いじりまわす
いそいそ,cheerfully,いそいそ
イチャイチャ,flirting,イチャイチャ
いちゃつく,to flirt with,いちゃつく
何時もより,more than usual,いつもより
いとも簡単に,very easily,いともかんたんに
鯔背,gallant,いなせ
嘶く,to neigh,いななく
嘶き,neigh,いななき
いびる,to pick on,いびる
嫌に,awfully,いやに
いらっしゃい,come,いらっしゃい
いらっしゃいませ,welcome,いらっしゃいませ
いらっしゃる,to come,いらっしゃる
うじうじ,indecisively,うじうじ
うじゃうじゃ,in swarms,うじゃうじゃ
うずうず,itching to do something,うずうず
うぞうぞ,irrepressibly aroused (esp. sexually),うぞうぞ
うだうだ,going on and on (about inconsequential things),うだうだ
うっかり,carelessly,うっかり
うとうと,falling into a doze,うとうと
うねうね,winding,うねうね
畝り,undulation,うねり
うろうろ,restlessly,うろうろ
狼狽える,to be flustered,うろたえる
うん,yes,うん
うんこ,poop,うんこ
うんざり,tedious,うんざり
うんち,poo,うんち
鱝,ray (any fish of superorder Batoidea),えい
ええ,yes,ええ
えっと,let me see,えっと
えげつない,dirty,えげつない
斉魚,Japanese grenadier anchovy (Coilia nasus),えつ
お出でになる,to be,おいでになる
おいでやす,"welcome (in shops, etc.)",おいでやす
